ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,ssl.handshake,ssl.record,ssl.record.content_type,ssl.handshake.cert_url.url_len,ssl.handshake.certificate_length,ssl.handshake.cert_type,ssl.handshake.cert_type.type,ssl.handshake.cert_type.types,ssl.handshake.cert_type.types_len,ssl.handshake.cert_types,ssl.handshake.cert_types_count,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port
"36.51.254.217","10.0.1.7","1500","0","0",,,,"53","6","15744","518","1","1460","21","0","0x00000010",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.51.254.217","10.0.1.7","1500","0","0",,,,"53","6","15744","518","1461","1460","21","0","0x00000010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.51.254.217","10.0.1.7","268","0","0",,,,"52","6","15744","518","4381","228","21","0","0x00000018",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.51.254.217","10.0.1.7","1500","0","0",,,,"52","6","15744","518","2921","1460","21","0","0x00000010",,"1","4541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.217","40","1","0",,,,"64","6","260672","2921","518","0","21","0","0x00000010","0.000035000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.217","52","1","0",,,,"64","6","260672","2921","518","0","21","0","0x00000010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.217","40","1","0",,,,"64","6","258944","4609","518","0","21","0","0x00000010","0.000033000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.217","40","1","0",,,,"64","6","262144","4609","518","0","21","0","0x00000010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.217","358","1","0",,,,"64","6","262144","4609","518","318","21","0","0x00000018",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.51.254.217","10.0.1.7","282","0","0",,,,"52","6","16768","836","4609","242","21","0","0x00000018","0.042723000",,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.217","40","1","0",,,,"64","6","261888","4851","836","0","21","0","0x00000010","0.000036000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","23.74.229.240","64","1","0",,,,"64","6","65535","0","0","0","22","0","0x00000002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.74.229.240","10.0.1.7","60","0","0",,,,"54","6","28960","1","0","0","22","0","0x00000012","0.004988000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","23.74.229.240","52","1","0",,,,"64","6","131712","1","1","0","22","0","0x00000010","0.000075000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","23.74.229.240","569","1","0",,,,"64","6","131712","1","1","517","22","0","0x00000018",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.74.229.240","10.0.1.7","52","0","0",,,,"54","6","30080","518","1","0","22","0","0x00000010","0.004742000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.74.229.240","10.0.1.7","204","0","0",,,,"54","6","30080","518","1","152","22","0","0x00000018",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","23.74.229.240","52","1","0",,,,"64","6","131584","153","518","0","22","0","0x00000010","0.000020000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","23.74.229.240","103","1","0",,,,"64","6","131584","153","518","51","22","0","0x00000018",,,,"1","1","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.74.229.240","10.0.1.7","52","0","0",,,,"54","6","30080","569","153","0","22","0","0x00000010","0.045308000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"140.143.202.143","10.0.1.7","52","0","0",,,,"38","6","6553600","518","1","0","18","0","0x00000010","0.377638000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"140.143.202.143","10.0.1.7","1464","1","0",,,,"39","6","6553600","518","1","1412","18","0","0x00000010",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"140.143.202.143","10.0.1.7","1464","1","0",,,,"39","6","6553600","518","1413","1412","18","0","0x00000010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"140.143.202.143","10.0.1.7","1324","1","0",,,,"39","6","6553600","518","2825","1272","18","0","0x00000018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","140.143.202.143","52","1","0",,,,"64","6","129600","2825","518","0","18","0","0x00000010","0.000032000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","140.143.202.143","52","1","0",,,,"64","6","128384","4097","518","0","18","0","0x00000010","0.000030000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"140.143.202.143","10.0.1.7","1464","0","0",,,,"38","6","6553600","518","4097","1412","18","0","0x00000010",,"1","5428","1","1","22",,"1374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","140.143.202.143","52","1","0",,,,"64","6","131072","5509","518","0","18","0","0x00000010","0.000085000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.37","64","1","0",,,,"64","6","65535","0","0","0","23","0","0x00000002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.51.254.37","10.0.1.7","52","0","0",,,,"52","6","14600","1","0","0","23","0","0x00000012","0.045517000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.37","40","1","0",,,,"64","6","262144","1","1","0","23","0","0x00000010","0.000061000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.37","557","1","0",,,,"64","6","262144","1","1","517","23","0","0x00000018",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.51.254.37","10.0.1.7","40","0","0",,,,"52","6","15872","518","1","0","23","0","0x00000010","0.046786000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.51.254.37","10.0.1.7","1500","0","0",,,,"52","6","15872","518","1","1460","23","0","0x00000010",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.51.254.37","10.0.1.7","1500","0","0",,,,"53","6","15872","518","1461","1460","23","0","0x00000010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.37","40","1","0",,,,"64","6","259200","2921","518","0","23","0","0x00000010","0.000054000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.37","40","1","0",,,,"64","6","262144","2921","518","0","23","0","0x00000010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.51.254.37","10.0.1.7","1500","0","0",,,,"53","6","15872","518","2921","1460","23","0","0x00000010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.51.254.37","10.0.1.7","627","0","0",,,,"53","6","15872","518","4381","587","23","0","0x00000018",,"1","4541","1","1","22",,"3356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.37","40","1","0",,,,"64","6","260096","4968","518","0","23","0","0x00000010","0.000018000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.37","166","1","0",,,,"64","6","262144","4968","518","126","23","0","0x00000018",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.51.254.37","10.0.1.7","298","0","0",,,,"52","6","15872","644","4968","258","23","0","0x00000010","0.046969000",,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36.51.254.37","10.0.1.7","109","0","0",,,,"53","6","15872","644","5226","69","23","0","0x00000018",,,,,"1","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.37","40","1","0",,,,"64","6","261760","5295","644","0","23","0","0x00000010","0.000032000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"140.143.202.143","10.0.1.7","389","0","0",,,,"38","6","6553600","518","5509","337","18","0","0x00000018",,"1","338","1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","140.143.202.143","52","1","0",,,,"64","6","130688","5846","518","0","18","0","0x00000010","0.000055000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","140.143.202.143","178","1","0",,,,"64","6","131072","5846","518","126","18","0","0x00000018",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
